"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"PRKODE";"PRNTOE";"GPKODE";"THEMBT";"HPEMBT";"THEHHV";"XPEHHV";"HPGALG";"THHMA1";"HPHMA1";"HPHMH1";"THHMA2";"HPHMA2";"HPHMH2";"HPMPJN";"HPGVBL";"HPGVBB";"HPGIUD";"THHULI";"PRHULI";"HPINST";"THKEXT";"PRKEXT";"SourceCode"
"0051";"9";0;"";"90050908";"";"90050894";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050983";"";"90050975";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90049772";"";"90049764";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90049810";"";"90049802";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90049853";"";"90049845";"0073";"000004";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90049918";"";"90049896";"0073";"000004";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050673";"";"90050665";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90050800";"";"90050797";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90051033";"";"90051025";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90051084";"";"90051076";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90051904";"";"90051890";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90051947";"";"90051939";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90051998";"";"90051971";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90052439";"";"90052420";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90052471";"";"90052463";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90052617";"";"90052609";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90052668";"";"90052641";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90052706";"";"90052692";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90052749";"";"90052730";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90052781";"";"90052773";"0073";"";"0002";"";1.6;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90053036";AMP 5ML;"90053028";"0073";"000001";"0002";"000233";5.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053060";"";"90051971";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90053354";"";"90053346";"0073";"000011";"0002";"000233";0.5;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053397";"";"90053389";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053435";"";"90053427";"0073";"";"0002";"000245";0.0;"0077";"";"";"0077";"";"";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053486";FL 4ML;"90053478";"0073";"000004";"0002";"000233";4.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
